"Name deutsch","Name englisch","URL der Einrichtung","Einrichtungsart","DFG Instituts ID","GRID ID","span"
"Führungsakademie der Bundeswehr","Military Leadership Academy of the German Federal Armed Forces (FüAkBw)","www.fueakbw.de/index.php/de/","Sonst. Forschg",16340071,,"Fachbereich Sozialwissenschaften"
"GBG Forschungs GmbH","German Breast Group","www.germanbreastgroup.de","Sonst. Forschg",174329469,,
"GEO-Zentrum an der KTB","GEO-Zentrum an der KTB","www.geozentrum-ktb.de","Sonst. Forschg",53695272,,
"GEOMAR Helmholtz-Zentrum für Ozeanforschung Kiel","GEOMAR Helmholtz Centre for Ocean Research Kiel","www.geomar.de/","HGF",10339,"grid.15649.3f",
"GEOMAR Helmholtz-Zentrum für Ozeanforschung Kiel","GEOMAR Helmholtz Centre for Ocean Research Kiel","www.geomar.de/","HGF",10339,"grid.15649.3f","Forschungsbereich 1: Ozeanzirkulation und Klimadynamik"
"GEOMAR Helmholtz-Zentrum für Ozeanforschung Kiel","GEOMAR Helmholtz Centre for Ocean Research Kiel","www.geomar.de/","HGF",10339,"grid.15649.3f","Forschungsbereich 2: Marine Biogeochemie"
"GEOMAR Helmholtz-Zentrum für Ozeanforschung Kiel","GEOMAR Helmholtz Centre for Ocean Research Kiel","www.geomar.de/","HGF",10339,"grid.15649.3f","Forschungsbereich 3: Marine Ökologie"
"GEOMAR Helmholtz-Zentrum für Ozeanforschung Kiel","GEOMAR Helmholtz Centre for Ocean Research Kiel","www.geomar.de/","HGF",10339,"grid.15649.3f","Forschungsbereich 4: Dynamik des Ozeanbodens"
"GESIS - Leibniz-Institut für Sozialwissenschaften","GESIS - Leibniz Institute for the Social Sciences","www.gesis.org","WGL",145000415,"grid.425053.5","Abteilung Dauerbeobachtung der Gesellschaft"
"GESIS - Leibniz-Institut für Sozialwissenschaften","GESIS - Leibniz Institute for the Social Sciences","www.gesis.org","WGL",145000415,"grid.425053.5","Abteilung Survey Design and Methodology (SDM)"
"GESIS - Leibniz-Institut für Sozialwissenschaften","GESIS - Leibniz Institute for the Social Sciences","www.gesis.org","WGL",145000415,"grid.425053.5","GESIS - Leibniz-Institut für Sozialwissenschaften - Standort Köln"
"GESIS - Leibniz-Institut für Sozialwissenschaften","GESIS - Leibniz Institute for the Social Sciences","www.gesis.org","WGL",145000415,"grid.425053.5","Servicestelle Osteuropa"
"GFBio - Gesellschaft für Biologische Daten e.V.","GFBio - Gesellschaft für Biologische Daten e.V.","www.gfbio.org/gfbio_ev","Sonst. Forschg",403249756,,
"GFBio - Gesellschaft für Biologische Daten e.V.","GFBio - Gesellschaft für Biologische Daten e.V.","www.gfbio.org/gfbio_ev","Sonst. Forschg",403249756,,"German Federation for Biological Data (GFBio)"
"GFaI - Gesellschaft zur Förderung angewandter Informatik e.V.","GFaI - Society for the Advancement of Applied Computer Science","www.gfai.de","Sonst. Forschg",13143045,,
"GIGA Leibniz-Institut für Globale und Regionale Studien","GIGA German Institute of Global and Area Studies","www.giga-hamburg.de","WGL",10527,"grid.435041.7","GIGA Institut für Afrika-Studien"
"GIGA Leibniz-Institut für Globale und Regionale Studien","GIGA German Institute of Global and Area Studies","www.giga-hamburg.de","WGL",10527,"grid.435041.7","GIGA Institut für Asien-Studien"
"GIGA Leibniz-Institut für Globale und Regionale Studien","GIGA German Institute of Global and Area Studies","www.giga-hamburg.de","WGL",10527,"grid.435041.7","GIGA Institut für Lateinamerika-Studien (ILAS)"
"GIGA Leibniz-Institut für Globale und Regionale Studien","GIGA German Institute of Global and Area Studies","www.giga-hamburg.de","WGL",10527,"grid.435041.7","GIGA Institut für Nahost-Studien (IMES)"
"GSI Helmholtzzentrum für Schwerionenforschung GmbH","GSI Helmholtz Centre for Heavy Ion Research","www.gsi.de","HGF",10224,"grid.159791.2","Abteilung Atomphysik"
"GSI Helmholtzzentrum für Schwerionenforschung GmbH","GSI Helmholtz Centre for Heavy Ion Research","www.gsi.de","HGF",10224,"grid.159791.2","Abteilung Biophysik"
"GSI Helmholtzzentrum für Schwerionenforschung GmbH","GSI Helmholtz Centre for Heavy Ion Research","www.gsi.de","HGF",10224,"grid.159791.2","Abteilung Hadronenphysik/PANDA"
"GSI Helmholtzzentrum für Schwerionenforschung GmbH","GSI Helmholtz Centre for Heavy Ion Research","www.gsi.de","HGF",10224,"grid.159791.2","Abteilung Informationstechnologie"
"GSI Helmholtzzentrum für Schwerionenforschung GmbH","GSI Helmholtz Centre for Heavy Ion Research","www.gsi.de","HGF",10224,"grid.159791.2","Abteilung Kernphysik NUSTAR/ENNA"
"GSI Helmholtzzentrum für Schwerionenforschung GmbH","GSI Helmholtz Centre for Heavy Ion Research","www.gsi.de","HGF",10224,"grid.159791.2","Abteilung Materialforschung"
"GSI Helmholtzzentrum für Schwerionenforschung GmbH","GSI Helmholtz Centre for Heavy Ion Research","www.gsi.de","HGF",10224,"grid.159791.2","Abteilung Plasmaphysik"
"GSI Helmholtzzentrum für Schwerionenforschung GmbH","GSI Helmholtz Centre for Heavy Ion Research","www.gsi.de","HGF",10224,"grid.159791.2","Abteilung Theorie"
"GSI Helmholtzzentrum für Schwerionenforschung GmbH","GSI Helmholtz Centre for Heavy Ion Research","www.gsi.de","HGF",10224,"grid.159791.2","Helmholtz-Institut Mainz"
"Gas- und Wärme-Institut Essen e.V. (GWI)","Gas and Thermal Energy Institute (GWI)","www.gwi-essen.de/","Sonst. Forschg",24121538,,
"Gauss Centre for Supercomputing (GCS)","Gauss Centre for Supercomputing (GCS)","www.gauss-centre.eu/gauss-centre/EN/Home/home_node.html","Sonst. Forschg",394470063,,
"Geisteswissenschaftliche Zentren Berlin e.V. (GWZ)","Humanities Research Centres Berlin (GWZ)","www.gwz-berlin.de/","Landesforschung",13049,,
